cas_number,method_id,sample_volume,flow_rate,notes
7664-41-7,NIOSH-6015,72 L,,
7773-06-0,OSHA-ID-188,24 L,,
7440-38-2,NIOSH-7300,"5-2,000 L @ 0.01 mg/m³",,
7440-38-2,NIOSH-7900,"30-1,000 L @ 0.002 mg/m³",,
7440-38-2,NIOSH-5022,"50-1,000 L @ 0.01 mg/m³",,
7784-42-1,NIOSH-6001,0.1-10 L @ 0.05 ppm,,
1332-21-4,NIOSH-7400,"Use equation in Step 4 of Sampling in Method to collect a fiber density of 100 to 1,300 fibers/mm2.",,
1332-21-4,NIOSH-7402,"Use equation in Step 4 of Sampling in Method to collect a fiber density of 100 to 1,300 fibers/mm2.",,
71-43-2,EPA-TO-15,"Consult Lab for specific instructions for collecting grab, 8 hour or 24 hour collection times.",,
71-43-2,NIOSH-1501,5-30 L,<0.20 L/min,
100-41-4,NIOSH-1501,1-24 L,<0.20 L/min,
108-88-3,NIOSH-1501,1-8 L,<0.20 L/min,
108-38-3,NIOSH-1501,2-23 L,<0.20 L/min,
95-47-6,NIOSH-1501,2-23 L,<0.20 L/min,
106-42-3,NIOSH-1501,2-23 L,<0.20 L/min,
100-42-5,NIOSH-1501,1-14 L,<1.00 L/min,
106-99-0,OSHA-ID-56,3 L,0.05 L/min,
106-99-0,NIOSH-1024,5-25 L at 100ppm,0.01 to 0.5 L/min,
106-97-8,OSHA-ID-PV2010,"3 L, 60 minutes at 0.05 L/min",0.05 L/min,
7440-43-9,NIOSH-7300,5-200 L @ 0.005 mg/m³,1-4 L/min,
7440-43-9,NIOSH-7048,"25-1,500 L @ 0.1 mg/m³",1-3 L/min,
630-08-0,OSHA-ID-209,NA,NA,
57-74-9,NIOSH-5510,10-200 L@0.5 mg/m³,0.5-1 L/min,
7782-50-5,NIOSH-6011,8-360 L @ 0.1 ppm,0.3-1.0 L/min,
7440-47-3,NIOSH-7024,"10-1,000 L @0.5 mg/m³",1-3 L/min,
7440-47-3,NIOSH-7024,"10-1,000 L @0.5 mg/m³",1-3 L/min,
7440-47-3,NIOSH-7024,"10-1,000 L @0.5 mg/m³",1-3 L/min,
18540-29-9,NIOSH-7605,1-400 L @ 0.05 mg/m³,1-4 L/min,
7738-94-5,NIOSH-7605,1-400 L @ 0.05 mg/m³,1-4 L/min,
7440-50-8,NIOSH-7029,"50-1,500 L @ 0.1 mg/m³",1-3 L/min,
143-33-9,NIOSH-7904,10 L @ 0.5 mg/m³ to 180 L @ 11 mg/m³,0.5-1 L/min,
110-82-7,NIOSH-1500,2.5-5 L,0.01 -0.2 L/min,
68334-30-5,EPA-TO-17,Contact Lab,Contact Lab,May be possible with modification
68334-30-5,EPA-TO-15,Contact Lab,Contact Lab,May be possible with modification
64-17-5,NIOSH-1400,0.1-1 L,0.01-0.05 L/min,
64-17-5,EPA-TO-15,Contact Lab,Contact Lab,"Consult Lab for specific instructions for collecting grab, 8 hour or 24 hour collection times."
60-29-7,NIOSH-1610,0.25-3 L @ 400 ppm,0.01-0.2 L/min,
50-00-0,NIOSH-2016,"1 L @ 0.25 mg/m³, 15 L @ 2.5 mg/m³",0.03-1.5 L/min,
76-13-1,NIOSH-1020,"0.1 L-3L @ 1,000 ppm",0.01-0.05 L/min,
8006-61-9,NIOSH-1501,See specific contaminant,See specific contaminant,"See specific compound, or check Table 3 in method for specific flow rate and volume"
8006-61-9,EPA-TO-15,Contact Lab,Contact Lab,"Consult Lab for specific instructions for collecting grab, 8 hour or 24 hour collection times."
302-01-2,NIOSH-3503,7-100 L @ 1 ppm,0.2-1.0 L/min,
10034-85-2,OSHA-ID-212,2.5 L,0.5 L/min,
10035-10-6,NIOSH-7907,30-600 L,2 L/min,
7647-01-0,NIOSH-7907,30-600 L,2 L/min,
7664-39-3,NIOSH-7906,"15-1,000 L",1-2 L/min,
7722-84-1,OSHA-ID-1019,240 L,1 L/min,
7783-06-4,OSHA-ID-1008,5-12 L,0.05-0.5 L/min,
7553-56-2,NIOSH-6005,15 L,0.5-1 L/min,
8008-20-6,NIOSH-1550,"1.3-20 L @ 400 mg/m³, 0.2-3.2 L @ 2,500 mg/m³",0.01-0.2 L/min,
7439-92-1,NIOSH-7300,"50-2,000 L @ 0.05 mg/m³",1-4 L/min,
7439-93-2,NIOSH-7301,"100-2,000 L",1-4 L/min,
1309-48-4,NIOSH-7300,5-67 L @ 15 mg/m³,1-4 L/min,
7439-97-6,NIOSH-6009,2-100 L @ 0.5 mg/m³,0.15 to 0.25 L/min,Includes elemental mercury
7439-97-6,OSHA-ID-145,10 L,2.0 L/min,Particulates
74-82-8,Colorimetric-Detector-Tube,NA,NA,
67-56-1,NIOSH-2000,1-5L @ 200 ppm,0.02-0.2 L/min,
74-83-9,EPA-TO-15,Contact Lab,Contact Lab,"Consult Lab for specific instructions for collecting grab, 8 hour or 24 hour collection times."
74-83-9,OSHA-ID-PV2040,3 L,0.05-0.2 L/min,
78-93-3,NIOSH-2500,0.25-12 L @ 200 ppm,0.01-0.2 L/min,
7440-02-0,NIOSH-7300,,1-4 L/min,
LOCAL-PCDDs-PCDFs,EPA-TO-9A,48 L-480 L @ 0.5 mg/m³,0.5-1.0 L/min,
7697-37-2,NIOSH-7907,30-600 L,2 L/min,
10102-43-9,NIOSH-6014,1.5-6 L,0.025 L/min,
10102-44-0,NIOSH-6014,1.5-6 L,0.025-0.2 L/min,
10024-97-2,NIOSH-6600,3 L,0.1-4 L/min,
65996-93-2,NIOSH-5506,"200-1,000 L",2 L/min,
65996-93-2,EPA-TO-13A,"At least 300 m³ over a 24 hour period, or determined by user (as needed to achieve the project's RLs).",0.225 m³/min for up to 24 hours,
65996-93-2,NIOSH-5023,"500-2,400 L @ 0.2 mg/m³",1-4 L/min,
65996-93-2,EPA-TO-15,"Consult Lab for specific instructions for collecting grab, 8 hour or 24 hour collection times.","Consult Lab for specific instructions for collecting grab, 8 hour or 24 hour collection times.",
65996-93-2,EPA-TO-17,Calculate volume to achieve final reporting limit.,10-200 mL/min,
53469-21-9,EPA-TO-10A,Determined by user (as needed to achieve the project's RLs),1-5 L/min for 4-24 hours,
53469-21-9,EPA-TO-4A,"At least 300 m³ over a 24 hour period, or determined by user (as needed to achieve the project's RLs).",0.225 m³/min for up to 24 hours,
53469-21-9,NIOSH-5503,1-50 L @ 0.5 mg/m³,0.05-0.2 L/min,
11097-69-1,EPA-TO-10A,Determined by user (as needed to achieve the project's RLs),1-5 L/min for 4-24 hours,
11097-69-1,EPA-TO-4A,"At least 300 m³ over a 24 hour period, or determined by user (as needed to achieve the project's RLs).",0.225 m³/min for up to 24 hours,
11097-69-1,NIOSH-5503,1-50 L @ 0.5 mg/m³,0.05-0.2 L/min,
87-86-5,NIOSH-5512,48 L-480 L @ 0.5 mg/m³,0.5-1.0 L/min,
LOCAL-Pesticides,EPA-TO-10A,Determined by user (as needed to achieve the project's RLs),1-5 L/min for 4-24 hours,
LOCAL-Pesticides,EPA-TO-4A,"At least 300 m³ over a 24 hour period, or determined by user (as needed to achieve the project's RLs).",0.225 m³/min for up to 24 hours,
75-44-5,OSHA-ID-61,240 L,1 L/min,
7803-51-2,NIOSH-6002,1-16 L @ 0.3 ppm,0.01-0.2 L/min,
7664-38-2,NIOSH-7908,"15-2,000 L",1-5 L/min,
7723-14-0,NIOSH-7905,5-100 L @ 0.1 mg/m³,0.01-0.2 L/min,
1314-56-3,OSHA-ID-111,960 L,2 L/min,
74-98-6,OSHA-PV2077,5 L,0.1 L/min,
1310-73-2,NIOSH-7401,"70-1,000 L @ 2 mg/m³",1-4 L/min,
100-42-5,NIOSH-1501,1-14 L @ 100 ppm,<1.00 L/min,
7446-09-5,NIOSH-6004,4-200 L @ 5 ppm,0.5-1.5 L/min,
7664-93-9,NIOSH-7908,"15-2,000 L",1-5 L/min,
127-18-4,EPA-TO-15,"Consult Lab for specific instructions for collecting grab, 8 hour or 24 hour collection times.","Consult Lab for specific instructions for collecting grab, 8 hour or 24 hour collection times.",
127-18-4,NIOSH-1603,"1-40 L, target 3 L",0.01-0.2 L/min,
108-88-3,EPA-TO-15,"Consult Lab for specific instructions for collecting grab, 8 hour or 24 hour collection times.","Consult Lab for specific instructions for collecting grab, 8 hour or 24 hour collection times.",
108-88-3,NIOSH-1501,1-14 L @ 100 ppm,<1.00 L/min,
79-01-6,EPA-TO-15,"Consult Lab for specific instructions for collecting grab, 8 hour or 24 hour collection times.","Consult Lab for specific instructions for collecting grab, 8 hour or 24 hour collection times.",
79-01-6,NIOSH-1022,1-30 L @100 ppm,0.01-0.2 L/min,
75-01-4,EPA-TO-15,"Consult Lab for specific instructions for collecting grab, 8 hour or 24 hour collection times.","Consult Lab for specific instructions for collecting grab, 8 hour or 24 hour collection times.",
75-01-4,NIOSH-1007,0.7-5 L,0.05 L/min,
108-38-3,NIOSH-1501,1-14 L @ 100 ppm,<1.00 L/min,
95-47-6,NIOSH-1501,1-14 L @ 100 ppm,<1.00 L/min,
106-42-3,NIOSH-1501,1-14 L @ 100 ppm,<1.00 L/min,
